[2025-09-19 17:40:33] 串口已打开: COM3 @ 115200, 8N1.0
[2025-09-19 17:40:33] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:34] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:35] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:36] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:37] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:38] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:39] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:40] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:41] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:42] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:43] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:44] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:45] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:46] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:47] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:48] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:49] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:50] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:51] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:52] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:53] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:54] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:55] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:56] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:57] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:58] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:40:59] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:00] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:01] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:02] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:03] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:04] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:05] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:06] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:07] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:08] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:09] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:10] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:11] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:12] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:13] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:14] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:15] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:16] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:17] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:18] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:19] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:20] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:21] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:22] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:23] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:24] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:25] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:26] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:27] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:28] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:29] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:30] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:31] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:32] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:33] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:34] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:35] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:36] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:37] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:38] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:39] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:40] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:41] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:42] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:43] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:44] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:45] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:46] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:47] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:48] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:49] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:50] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:51] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:52] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:53] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:54] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:55] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:56] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:57] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:58] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:41:59] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:00] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:01] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:02] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:03] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:04] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:05] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:06] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:07] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:08] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:09] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:10] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:11] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:12] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:13] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:14] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:15] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:16] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:17] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:18] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:19] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:20] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:21] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:22] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:23] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:24] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:25] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:26] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:27] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:28] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:29] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:30] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:31] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:32] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:33] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:34] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:35] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:36] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:37] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:38] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:39] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:40] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:41] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:42] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:43] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:44] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:45] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:46] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:42:47] [接收] [WiFi] Disconnecting from WiFi!
